"","ALL","KM3_1","KM3_2","KM3_3","KM4_1","KM4_2","KM4_3","KM4_4","KM5_1","KM5_2","KM5_3","KM5_4","KM5_5","KM6_1","KM6_2","KM6_3","KM6_4","KM6_5","KM6_6"
"SEGMENT_SIZE",8950,2415,5152,1383,2954,1498,3440,1058,1492,3417,35,2950,1056,1303,1187,852,2412,1463,1733
"Monthly_Avg_PURCHASES",170.051771304778,168.003157014928,121.659613390821,353.901229788287,87.7399933163074,167.721718192267,169.564574802188,404.754387287188,167.706904113678,169.541928697038,167.402438797961,87.7741671552314,404.949813841394,155.861289152607,171.185176139646,445.697447018753,171.350067947352,118.580673515256,86.0733844387434
"Monthly_CASH_ADVANCE",690.297641971682,817.643148666615,629.198631121988,695.534594415182,674.146581621281,1028.96146719628,552.949795510582,702.460604083986,1026.22323502721,551.951835350767,849.26888592851,674.41597443723,702.431696965016,748.463499888464,1148.5672540867,720.053420044263,462.860622339076,611.667213067555,700.976432206331
"CASH_ADVANCE",841.040397647654,2463.60289474845,174.635346140431,490.230849467462,105.307325729519,3346.88660426135,477.843592319767,528.181122852552,3347.26984876642,478.964454573603,813.677124171429,104.836974910169,529.181465888258,323.001140076362,3766.96753379739,552.258126369131,652.34446186194,363.920400873548,33.8466812775534
"CASH_ADVANCE_TRX",2.81536404844693,8.00984976612837,0.692138610287267,1.65424651352133,0.46716316858497,9.84945363538051,2.09897982587209,1.74152749224953,9.88236028538874,2.10871834972198,1.05714285714286,0.463728813559322,1.74482583977273,0.715116070913277,10.2878178766639,1.78045024178404,3.33567079875622,1.556726316473,0.123485285631852
"CASH_ADVANCE_FREQUENCY",0.124866906145251,0.330481151552795,0.0430642909549689,0.0705564728850325,0.0265209390656737,0.371517876502003,0.117657979069767,0.073666095463138,0.372397528820375,0.118187829967808,0.0636847142857143,0.0264156569491525,0.0738056145833333,0.036999668457406,0.377267923336142,0.071875191314554,0.17691186318408,0.0817135454545455,0.00809880150028852
"ONEOFF_PURCHASES",493.133225761475,169.312169772257,237.572843555901,2010.61329758872,285.675934326337,219.191713865754,212.074148255814,2374.07505027817,220.054415127949,212.176602282704,232.914,285.691979661017,2376.20303332794,205.172363775902,228.784841929992,2627.33993332664,157.835464344942,575.295967190704,238.76769186382
"ONEOFF_PURCHASES_FREQUENCY",0.189061207597765,0.0856960751138716,0.137514588858696,0.561581073608098,0.184652642924848,0.107792131909212,0.0989066452906977,0.609567511720227,0.10822561233244,0.0990358577114428,0.0647121942857143,0.184813214033898,0.610564167045455,0.0818626035303147,0.109641721314238,0.629287452112676,0.0740782661691542,0.318779746206425,0.158154446912868
"PAYMENTS",1536.54696892212,2013.82045234948,813.256836640528,3397.55586193565,943.743618277251,2642.93666038652,854.191998103779,3843.79691183932,2633.2267897433,847.855915760901,2546.46100431429,941.08887810339,3845.51042788352,966.927578927859,2908.38602480708,4233.67306839202,814.584370629353,1304.79405716131,899.684860478361
"CREDIT_LIMIT",4343.61511076123,5236.72628245217,3252.47924903125,6848.79839347939,3671.0840981239,6599.59208641856,3039.39007267442,7267.75238185255,6586.20432671247,3038.54312262218,4523.48828571429,3672.29912740949,7267.45456439394,3614.48965805372,7134.06919583404,7518.75420187793,2858.98911553358,3808.7032660164,3937.41597032025
"LIMIT_USAGE",0.386650858785465,0.645066650064142,0.281891844333936,0.325656141877492,0.222626231229598,0.625301617303738,0.440379967812095,0.33202115981387,0.627297124943339,0.443688519278091,0.00501811099459864,0.222732923549263,0.332648150554996,0.0444496060107173,0.610688899308398,0.318278307755436,0.597263371923452,0.593874825163761,0.056034844499308
"PURCHASES_INSTALLMENTS_FREQUENCY",0.364437341564246,0.126104991304348,0.38075841867236,0.719814374548084,0.692528514895058,0.172554301068091,0.062823474127907,0.700742797731569,0.173695046246649,0.0626854214223003,0.296825371428571,0.691047574576271,0.700176022727273,0.161066062164236,0.158728465880371,0.704863204225352,0.0465114286898839,0.628120598769651,0.710770332948644
"PURCHASES_FREQUENCY",0.490350548379888,0.203761851345756,0.510261896156832,0.916618400578453,0.835722618483412,0.264817911214953,0.162591486337209,0.911059403591682,0.266273837131367,0.162564055896986,0.364285714285714,0.834313428813559,0.910890955492424,0.250559208749041,0.251860196293176,0.914374733568075,0.120954475538972,0.838365235133288,0.845864338718984
"INSTALLMENTS_PURCHASES",354.941795477944,102.083049223644,260.803874417857,1147.1706035081,530.472034700203,155.109209279306,41.8118808139535,1165.90568385898,156.286685992225,41.6426455955517,292.724221434286,529.385836145525,1164.13148640881,105.173806600153,146.806269271525,1219.91527628674,27.9746517412935,531.507155931169,566.065154863647
"PURCHASES_TRX",13.0205304512179,4.22537283304348,9.27531076180124,42.3304924814172,16.9766599172647,5.95163603711616,2.91582125889535,44.8381079665406,5.98763457345845,2.91701057377817,6.68571428571429,16.963068947661,44.8463240801136,3.84343821949348,5.76962997775906,47.0420076126761,2.04353233830846,21.6394083666439,16.1626958040392
"MINIMUM_PAYMENTS",721.925636838894,1276.84826770116,396.689020523428,964.500397305206,433.671005999628,1511.22699335461,538.34031123061,1006.10736418403,1515.16070734062,542.894354648903,14.9447452857143,434.098145417593,1007.9849142554,242.780197858941,1565.17220015215,1019.95573067993,635.9166412284,1072.82478909303,181.567549158684
"MIN_PAYMENTS_RATIO",6.25420478058577,3.68229868249576,6.10777644026139,11.290757229059,5.93179232469583,4.25179284423476,5.49700920466397,12.4515320551828,3.74132678319576,4.43033981666274,209.826719887739,5.12763235765385,12.1062039971858,14.9503224241987,4.01517425002053,13.6285786452361,2.42666687547186,2.60905151022944,6.02835485510232
