"","eigen.corrm..values","cum_sum_eigen","pct_var","cum_pct_var"
"1",5.43628691975958,5.43628691975958,0.258870805702837,0.258870805702837
"2",4.34186608560521,9.77815300536479,0.206755527885962,0.4656263335888
"3",2.1029989674656,11.8811519728304,0.100142807974552,0.565769141563352
"4",1.65342187995481,13.5345738527852,0.0787343752359434,0.644503516799295
"5",1.24504758595994,14.7796214387451,0.0592879802838065,0.703791497083102
"6",1.05006876179803,15.8296902005432,0.0500032743713346,0.753794771454436
"7",0.98231813003119,16.8120083305744,0.0467770538110091,0.800571825265446
"8",0.738608621813917,17.5506169523883,0.035171839133996,0.835743664399442
"9",0.727449668854781,18.278066621243,0.0346404604216562,0.870384124821098
"10",0.636203888604783,18.9142705098478,0.0302954232668944,0.900679548087992
"11",0.577838129084728,19.4921086389326,0.0275161013849871,0.928195649472979
"12",0.352782710727115,19.8448913496597,0.0167991767012912,0.94499482617427
"13",0.289902568761907,20.1347939184216,0.0138048842267575,0.958799710401028
"14",0.26560401653558,20.4003979349572,0.0126478103112181,0.971447520712246
"15",0.160884549684085,20.5612824846412,0.00766116903257548,0.979108689744822
"16",0.117833106714882,20.6791155913561,0.00561110031975629,0.984719790064578
"17",0.115034423233374,20.7941500145895,0.00547782967777971,0.990197619742358
"18",0.097498717024768,20.8916487316143,0.00464279604879848,0.994840415791156
"19",0.0516319927745027,20.9432807243888,0.00245866632259537,0.997299082113752
"20",0.0412694254520539,20.9845501498408,0.00196521073581209,0.999264292849564
"21",0.0154498501591643,21,0.000735707150436395,1
